Job Title,Company Name,Job Type,Date,Salary,Location,Job Description,lien
Consultant Stagiaire en Data Sciences - Paris H/F,EY,Stage,30/12/2023,,La Défense - 92,"Vos missionsVous analysez dans un premier temps les données de nos clients dans un contexte souvent CRM   -   Marketing : segmentations, scores d'appétence, valeur client, fidélisation. A partir de besoins métiers exprimés, vous recueillez et rendez exploitables les données nécessaires, avant de proposer puis mettre en oeuvre des méthodologies susceptibles de répondre efficacement et opérationnellement à ces besoins. Vous accompagnerez nos clients sur leurs différents besoins de traitement de données, d'analyses et de mise en place de reporting.Vous intervenez sur des missions de déploiement de solutions technologiques et sur l'analyse avancée des résultats en soutien des experts de notre cabinet.Votre profilVous êtes en dernière année de formation école d'ingénieur ou université en analyse statistique ou décisionnelle. Vous avez déjà démontré un intérêt pour notre métier au travers de stages effectués dans un cabinet de conseil ou un département étude / connaissance client d'un grand groupe français.Vous êtes curieux(se) et avez une bonne culture de la technologie et un intérêt pour le développement de solutions de traitement de données.Vous êtes ouvert(e) d'esprit et pouvez collaborer sur des projets avec de multiples intervenants.Vous faites preuve d'esprit analytique, de synthèse et de rigueur, vous êtes orienté(e) résultat.Vous avez une bonne capacité de communication écrite et orale.Vous parlez anglais couramment.Entrons ensemble dans l'ère de la révolution digitale et de la transformation des organisations ! La richesse de nos métiers, l'excellence de nos équipes, l'amplitude de nos réseaux, notre capacité à nous remettre en question, nos exigences élevées de qualité, notre éthique professionnelle, sont les fondements de notre réputation, le gage de nos futurs succès et de votre épanouissement professionnel.Vivez l'expérience EY Consulting, rejoignez-nous !",https://www.hellowork.com/fr-fr/emplois/43305045.html
Stage - Data Science Optimisation et Pondération des Réseaux de Neurones H/F,LNE,Stage,04/01/2024,,Trappes - 78,"Dans le cadre de la quantification de l'incertitude associée aux prédictions des réseaux de neurones, il est primordial de prendre en compte l'incertitude associée à de multiple réentraînements. La méthode privilégiée à l'heure actuelle est la méthode « Deep Ensemble » qui consiste simplement à lancer N entraînements et à calculer la variance à partir des prédictions du réseau de neurones. Cette approche s'apparente aux simulations de Monte Carlo et est par construction très coûteuse, un entraînement pouvant durer plusieurs jours dans certains cas.Au cours de ce stage, il s'agit de développer une approche permettant de réduire drastiquement le nombre de réentraînements du réseau de neurones en se basant notamment sur les travaux de Benton et al. [1] ou de Worstman et al. [2] afin de caractériser localement le paysage des paramètres en empruntant des chemins non linéaires de faible coût.Intégré(e) au sein du département Science des Données et Incertitudes, vos missions au cours de ce stage seront les suivantes :-   Vous familiariser avec les méthodes à l'état de l'art pour quantifier l'incertitude dans le cadre de l'utilisation de réseau de neurones-   Mettre en oeuvre une méthode permettant une exploration à bas coût computationnel pour l'exploration du paysage des paramètres des réseaux de neurones-   Tester la méthode sur un jeu de données type MNIST, CIFAR-10 ou CIFAR-100 avec différents réseaux de neurones (MLP, CNN, ResNet)-   Rédiger un rapport scientifique synthétisant vos résultats.",https://www.hellowork.com/fr-fr/emplois/42113237.html
Stage - Data Science l'Apprentissage d'Opérateurs pour la Résolution d'Équations aux Dérivées Partielles Edp H/F,LNE,Stage,04/01/2024,1100 - 1200 EUR par mois,Trappes - 78,"Contexte du stage :Dans le cadre d'études d'ingénierie de désenfumage assurant la sécurité incendie d'établissements recevant du public, l'outil FDS (Fire Dynamic Simulator) est utilisé pour résoudre numériquement une forme des équations de Navier-Stokes. Cependant, son coût en temps de calcul est conséquent.En alternative, les Physics-Informed Neural Networks (PINNs), basés sur des réseaux de neurones, donnent un cadre général qui peut s'adapter à la modélisation par processus gaussien [voir par exemple, 4, 3, 2] combinée à des méthodes de régression régularisée [voir par exemple, 5, 1]. Ces techniques offrent une efficacité accrue et permettent potentiellement une meilleure quantification de l'incertitude.L'idée principale est de substituer le réseau de neurones par une fonction appartenant à un RKHS (une classe de fonctions particulière déterminée par un noyau). Il est possible alors de reformuler les contraintes physiques en un problème de minimisation de norme sur un ensemble restreint, qui peut être résolue numériquement. Il n'existe pas (à notre connaissance) de technique standard dans ce cadre pour la quantification d'incertitude. D'autre part, l'implémentation numérique fait intervenir une matrice mal conditionnée de grande taille ce qui pourra engendrer des problèmes de scalabilité.Missions :Intégré(e) au sein du département Science des Données et Incertitudes, votre rôle dans un premier temps sera d'étudier les équations de Burgers afin de tester la faisabilité de ce type d'approche. Notamment, des techniques d'inférence scalables pour les processus gaussiens pourront être évaluées avant de s'attaquer aux équations de Navier Stokes pour des écoulements à faible vitesse dans le cadre de la simulation incendie.Les développements à réaliser au cours de ce stage s'articulent donc de la manière suivante :-   Vous familiariser avec les méthodes de modélisation par noyau intégrant des EDP.-   Mettre en oeuvre un modèle prédictif pour un cas test sur des EDP de type Burgers. Vous explorerez également les possibilités d'estimation d'erreur.-   Évaluer l'application des développements pour un cas typique en sécurité incendie.-   Rédiger un rapport scientifique synthétisant vos résultats.",https://www.hellowork.com/fr-fr/emplois/42113239.html
Consultant Expérimenté et Manager en Data Science - Secteur Financier Fy24 H/F,EY,CDI,31/12/2023,,La Défense - 92,"L'opportunitéEn travaillant dans une équipe en croissance sur les différents métiers Data & Analytics et Innovation, vous participez au développement des missions à forte valeur ajoutée auprès de nos clients (gestion de la donnée, processus de transformation, définition de moyen, machine learning, NLP, architecture, robotics, analyse quantitative, datamining, big data, data science, algorithmique, blockchain, intelligence artificielle, digital, ...).Votre champ d'intervention s'étendra véritablement au niveau mondial et vous pourrez acquérir une expérience précieuse, bénéficiant de vastes possibilités de développement professionnel, tout en disposant de tout le soutien dont vous avez besoin pour atteindre votre potentiel.Cette annonce est destinée aux candidats spécialisés en Data Science, mais nous recherchons des profils expérimentés et mobilisables sur le spectre élargi des métiers de la data.Vos missionsSelon votre parcours, vos expériences et votre expertise, vous serez amené à apporter vos compétences à des équipes engagées sur des missions de conseil de différentes natures :·        Cadrage et analyse fonctionnelle de projets de transformation data qu'il s'agisse de data science ou de mise en place de plateforme data·        Accompagnement au pilotage, à la coordination et à la gestion de projets data·        Définition de stratégie client en matière d'intelligence artificielle (use cases, trajectoires, roadmap...)·        Conception et mise en oeuvre de solutions d'IA depuis l'idéation jusqu'à l'industrialisation en passant par les études de faisabilité, la préparation des données et la modélisation·        Conception et mise en place de solutions NLP, machine learning, deep learning...·        Conception, développement et implémentation d'outils ou de solutions de reporting, d'aide à la décision, de visualisations de données dans les domaines du customer, du digital, de la conformité...·        Cartographie des processus de transformation de données·        Etudes et choix de solutions et de plateformes big data, analytics...·        Veille sur l'évolution des méthodes, des pratiques, des outils...Vous pourrez continuer de développer des compétences dans les domaines de votre choix grâce à l'approche de formation EY.Votre profilDiplômé d'un BAC+5, vous êtes attiré par les challenges du métier de conseil et le travail en équipe dédiée au conseil en Data & Analytics & Innovation.Vous avez entre 3 ans et 8 ans d'expérience, de préférence dans le secteur financier. Également selon votre profil :#DataScientist·        Vous êtes capable de développer des algorithmes et modèles statistiques, de machine learning ou de deep learning (classification, régression, clustering, apprentissage supervisé et non-supervisé...), pour répondre à des problématiques concrètes·        Vous savez manipuler, traiter et valoriser les données quels que soient leur nature (données structurées et non structurées) et leur volume·        Vous avez de solides compétences en programmation, notamment en Python et SQL et maitrisez éventuellement d'autres langages tels que R ou Scala ou C/C++ ou Java ou Go, ...·        Le maitrise des outils et processus de versioning (git notamment), CI/CD et DevOps est un plus.·        Une expérience ou une appétence pour le data engineering ou le développement web serait appréciéeQuel que soit votre profil :·        Vous êtes doté d'un excellent sens relationnel, vous savez allier le sens de l'analyse et de la synthèse, rigueur et méthode·        Vous êtes dynamique, autonome et responsable·        Curieux, vous faites preuve d'esprit d'équipe et de leadership·        Vous aimez entreprendre, développer des solutions et approches innovantes·        La maitrise des outils, méthodologies et concepts de suivi et gestion de projet est un plus.·        Une fine connaissance du secteur financier est un plusEntrons ensemble dans l'ère de la révolution digitale et de la transformation des organisations ! La richesse de nos métiers, l'excellence de nos équipes, l'amplitude de nos réseaux, notre capacité à nous remettre en question, nos exigences élevées de qualité, notre éthique professionnelle, sont les fondements de notre réputation, le gage de nos futurs succès et de votre épanouissement professionnel.Vivez l'expérience EY, rejoignez-nous au sein d'une équipe misant sur l'excellence, la bienveillance, la convivialité, la diversité et l'esprit d'équipe !Dans le cadre de sa politique Diversité, EY étudie, à compétences égales, toutes candidatures dont celles de personnes en situation de handicap.",https://www.hellowork.com/fr-fr/emplois/39495216.html
Clinical Data Manager H/F,Ividata Life Sciences,CDI,18/01/2024,,Paris - 75,"Missions :Key contact for client the Lead Data Management for any study responsible, ensure projects meet study timelines. Represent Data Management at Study Team meetings/client meetingsSupport EDC database build and testing through GO liveDrive, organise, monitors and track ongoing data cleaning, data review, discrepancy management and data extractions for review committees, interims and database lockSupport eCRF design using CDASH and programming of SDTM output where requiredWrite, review and approve study Data Management documents using agreed templates per Ividata GroupManage external data including preparation of Data Transfer agreements, data reconciliation, loading, secure storage and archiving per client requirementsReview and generate study metrics and status reports within and across several studiesVendor management and oversight of client service providers DM activities",https://www.hellowork.com/fr-fr/emplois/44070237.html
Clinical Data Manager -Python Developr H/F,Ividata Life Sciences,CDI,11/01/2024,,Paris - 75,"Missions :Key contact for client Data Management for any study responsible, ensure projects meet study timelines. Represent Data Management at Study Team meetings/client meetingsSupport EDC database build and testing through GO liveDrive, organise, monitors and track ongoing data cleaning, data review, discrepancy management and data extractions for review committees, interims and database lockSupport eCRF design using CDASH and programming of SDTM output where requiredWrite, review and approve study Data Management documents using agreed templates per Ividata GroupManage external data including preparation of Data Transfer agreements, data reconciliation, loading, secure storage and archiving per client requirementsReview and generate study metrics and status reports within and across several studiesVendor management and oversight of client service providers DM activitiesWrite efficient, reusable, and reliable Python code.Design and implement low-latency, high-availability, and performance applications.Collaborate with other team members to develop and maintain software solutions.Identify and correct bottlenecks and fix bugs.Help maintain code quality, organization, and automation.",https://www.hellowork.com/fr-fr/emplois/33943456.html
Stage - Data Science H/F,Sanofi,Stage,11/01/2024,,Paris 1er - 75,"ParisTemps pleinR2722951Titre de l'offre :stage 6 mois - data science h/flocalisation : Parisà partir de : mars 2024Rejoindre Sanofi :Toujours progresserDécouvrir l'extraordinaireLe progrès est à portée de main. Pour de meilleurs médicaments, de meilleurs résultats, une science toujours plus innovante. Mais on n'avance jamais seul - il faut des personnes aux parcours différents, venant d'horizons diversifiés, exerçant des fonctions complémentaires, toutes unies par le même désir de faire des miracles.Alors soyons ces personnes-là.Regardez notre vidéo ALL IN et découvrez nos actions en matière de diversité, d'équité et d'inclusion sur sanofi.com et sur Ensemble, construisons la santé de demain - Sanofi FranceDans ce contexte, nous recherchons au sein de l'Accelerator Data un stagiaire qui participera aux algorithmes de machine learning dans le cadre du travail des équipes Omnichannel productsVotre mission :-  Contribuer à l'évaluation des algorithmes en production dans une optique d'amélioration continue-  Aider à la mise en oeuvre d'une plateforme numérique multicanal pour proposer des solutions digitales sur-mesure-  Participer à l'amélioration de l'engagement des appels et chats via des outils de machine learning et d'analyses prédictives-  Assister à la mise en place de moteurs de recommandation pour les ventes croisées et incitatives ainsi que d'un plan d'action efficace pour les représentants commerciauxVous êtes :-  Savoir-être : esprit d'équipe, aisance relationnelle, esprit d'analyse-  Compétences techniques : Python, expérience en IA et machine learning, outils de visualisation-  Formation : Bac +5 en mathématiques, informatique, data science, physique ou statistiques-  Langues : anglais courantNotre processus de recrutement :Si vous êtes sélectionné, vous serez invité par un recruteur à un échange téléphonique puis à rencontrer rapidement le manager.Sanofi se transforme, rejoignez-nous pour être acteur de ce changement.Sanofi is dedicated to supporting people through their health challenges. We are a global biopharmaceutical company focused on human health. We prevent illness with vaccines, provide innovative treatments to fight pain and ease suffering.We stand by the few who suffer from rare diseases and the millions with long-term chronic conditions. With more than 100, 000 people in 100 countries, Sanofi is transforming scientific innovation into healthcare solutions around the globe.Sanofi, Empowering LifeIn this context, Sanofi is looking for :AN INTERN - data science (M/F)Location : Paris (17)Assignment :Within the Accelerator Data service and in connection with your tutor, you will contribute to the machine learning algorithms for the Omnichannels products teamsIn this context, your missions will consist in :-  Participate in the evaluation of the current algorithms to ensure continuous quality improvements-  Contribute to the implementation of a multi-channel digital targeting platform to deliver tailored digital campaigns-  Assist the work to improve calls and chats engagement based on feedback via machine learning and predictive analytics tools-  Help with the creation of recommendation engines for cross selling and up-selling as well as next-best action delivery to sales repsRequired profile :You are looking for an internship contract of 6 months, starting in March, April or May 2024 as part of a training of level Bac +5 or Master's Degree in mathematics, data science, computer science, physics or statisticsPart of an international environment, you are fluent in English and you can write and hold a conversation with non-French speakers.Self-starting and self-motivating team player, your rigor and analytical mind allow you to carry out your missions. Open-minded, you enjoy working in a team and interacting with many different partners.If you are interested in our mission, send us a CV and cover letter.At Sanofi diversity and inclusion is foundational to how we operate and embedded in our Core Values. We recognize to truly tap into the richness diversity brings we must lead with inclusion and have a workplace where those differences can thrive and BE leveraged to empower the lives of our colleagues, patients and customers. We respect and celebrate the diversity of our people, their backgrounds and experiences and provide equal opportunity for all.La diversité et l'inclusion sont les piliers de la manière dont Sanofi fonctionne et font partie intégrante des valeurs de la société. Nous respectons la diversité de nos collaborateurs, tout comme celle de leurs parcours et expériences. Afin de bénéficier de la richesse qu'apporte la diversité, Sanofi s'engage à donner l'exemple en matière d'inclusion et à favoriser un environnement de travail où les différences peuvent prospérer et contribuer à aider les patients à retrouver une vie meilleure.Dans le cadre de son engagement diversité, Sanofi accueille et intègre des collaborateurs en situation de handicap.Merci de postuler :http://sanoficareers.fr/consult.php?offre=5a5617020312733534&job=753",https://www.hellowork.com/fr-fr/emplois/43773018.html
Stage - Data Science H/F,Sanofi,Stage,06/01/2024,,Vitry-sur-Seine - 94,"Dans ce contexte, nous recherchons, pour notre équipe Data Science, un stagiaire qui participera au développement d'une application pour la caractérisation des procédés.Votre mission :-  Contribuer à la veille bibliographique-  Prendre part à l'implémentation d'un outil d'analyse des particules à partir des données de différents appareils d'imagerie microscopique-  Apporter votre aide à la construction de modèles de classification de particules-  Participer à la diffusion des résultats et des informations aux équipes sous la forme d'une applicationVous êtes :-  Savoir-être : esprit de synthèse et d'analyse, bon sens relationnel, esprit d'équipe-  Compétences techniques : connaissances en modélisation, Machine Learning et Deep Learning, en langage de programmation tels que Python ou R et en framework web application-  Formation : Bac +4/+5 en mathématiques appliquées ou en data science-  Langues : anglais courantNotre processus de recrutement :Si vous êtes sélectionné, vous serez invité par un recruteur à un échange téléphonique puis à rencontrer rapidement le manager.Sanofi se transforme, rejoignez-nous pour être acteur de ce changement.La diversité et l'inclusion sont les piliers de la manière dont Sanofi fonctionne et font partie intégrante des valeurs de la société. Nous respectons la diversité de nos collaborateurs, tout comme celle de leurs parcours et expériences. Afin de bénéficier de la richesse qu'apporte la diversité, Sanofi s'engage à donner l'exemple en matière d'inclusion et à favoriser un environnement de travail où les différences peuvent prospérer et contribuer à aider les patients à retrouver une vie meilleure.Dans le cadre de son engagement diversité, Sanofi accueille et intègre des collaborateurs en situation de handicap.Meci de postuler : http://sanoficareers.fr/consult.php?offre=6dd217042885891853&job=753",https://www.hellowork.com/fr-fr/emplois/44767105.html
Stage Data Science Appliquée en Conception d'Aérostructure H/F,Dassault Aviation,Stage,30/12/2023,,Saint-Cloud - 92,"Data Science et Aéronautique, venez allier les deux plus hautes technologies du moment !Au sein de la Direction Technique Aérostructure et dans le Département de Structure Aménagée, vous rejoindrez les forces vives du Service des Métiers Transverses (30 personnes) orientées vers les innovations informatiques et méthodologiques.1-Évaluation et Analyse des Processus Actuels :Examiner en détail les processus, les règles, et les méthodes de travail en vigueur au sein du bureau d'études.Identifier les domaines où l'application de la data science pourrait entraîner des améliorations significatives, telles que l'efficacité des processus, la précision des conceptions, ou la réduction des coûts et des délais.2-Application de la Data Science pour l'Amélioration des Processus :Utiliser les compétences en data science pour proposer des solutions innovantes aux défis identifiés.Concevoir et développer des outils et des modèles basés sur les données pour optimiser les processus de conception.Tester et valider ces outils en collaboration avec les équipes techniques, en s'assurant de leur applicabilité et de leur efficacité dans le contexte du bureau d'études.3-Réalisation d'un Projet Concret :-  Mener un projet spécifique, de la phase de conception à la mise en oeuvre, en appliquant les principes de la data science pour améliorer un processus ou résoudre un problème spécifique au sein du bureau d'études.-  Documenter le projet, y compris les méthodes utilisées, les résultats obtenus, et les leçons apprises, pour servir de référence future au sein de l'entreprise.Vous serez en interaction avec la Direction Technique Aérostructure majoritairement et Ponctuellement avec la Direction Générale du Système d'Informations.La mise en application des compétences du stagiaire lui feront gagner une expérience concrète dans son domaine. C'est également l'occasion de découvrir le monde de l'aéronautique et plus particulièrement la conception de cellules d'aéronefs au sein d'un bureau d'études renommé.A votre arrivée, nous vous proposerons un dispositif d'accueil pour vous permettre de mieux connaître votre entité, Dassault Aviation et ses enjeux, et de rencontrer d'autres apprentis.Vous êtes en fin de cursus dans une école d'ingénierie informatique, de préférence avec une spécialisation en ""Data Science"".Connaissance en Data Science : Maîtrise des principes fondamentaux de la data science, y compris l'analyse de données, la statistique, la modélisation prédictive et le machine learning.Programmation : Compétences solides en Python, expérience avec les bibliothèques couramment utilisées en data science (Pandas, NumPy, Scikit-Learn, TensorFlow, xGBoost...). Power BI (M+DAX).Vous avez des connaissances dans la culture aéronautique.Vous avez un bon niveau d'anglais.Vous êtes rigoureux, ce qui permet de traiter les informations de manière systématique (en suivant la même méthodologie). Vous êtes passionné, proactif et force de proposition et vous faites preuve d'un bon esprit d'initiative.Etablissement soumis à enquête administrative.Prenez votre envol ! Rejoignez-nous !#EnsemblePlusLoinLocalisation : France, Ile de France, 92 - Saint-CloudDomaine professionnel / métier : Conception de la cellule aménagéeType de contrat : StageDurée du stage : 6 moisNiveau du stage : M2/Ingé3Type de diplôme préparé : Bac +5Langues : Anglais B2 intermédiaire - avancéCompétences : Calcul de structureRéférence de l'offre : 2023-11803Nombre de postes à pourvoir : 1Merci de postuler :  https://aviationjobs.fr/consult.php?offre=d09117037739836267&job=753",https://www.hellowork.com/fr-fr/emplois/44453781.html
Data Science Intern H/F,Kyriba,CDI,28/01/2024,,Saint-Cloud - 92,"Role :The primary objective of this internship or gap year placement is to effectively employ anomaly detection algorithms for the continuous observation and management of Kyriba's production environment. This role offers a unique opportunity to delve into complex problem-solving scenarios, utilizing advanced algorithmic solutions to monitor and maintain the optimal function of the platform.The intern/apprentice will not only BE tasked with identifying anomalies, but will also engage in causal inference techniques to pinpoint the root cause of any incidents that occur. This intricate process requires a keen analytical mind and a deep understanding of the system's operation.A strong foundation in probability theory is imperative for this role. The intern is expected to apply this knowledge in creating and implementing anomaly detection algorithms, as well as in conducting rigorous causal inference.Furthermore, the intern will have the opportunity to utilize large language models (LLMs) for the analysis of application logs. LLMs are effective tools for extracting significant insights from large volumes of data, and the intern will BE able to apply these models to identify anomalies, establish correlations, and aid in the development of mitigation strategies. This addition to the role emphasizes the value of machine learning and artificial intelligence in modern problem-solving and system analysis.https://github.com/whylabs/whylogsProfile :Student engineering school or master's degree in data science, statistics, mathematics or applied mathematicsMachine learningProbabilityCuriositySolid knowledge of PythonEffective communication skills in EnglishAbility to work in a team",https://www.hellowork.com/fr-fr/emplois/45675931.html
